date;US;China;Canada;France;Australia;United Kingdom;Netherlands;Denmark;Liechtenstein;Serbia;Japan;North Macedonia;Pakistan;Mauritius;Fiji;Liberia;Nicaragua;Panama;Chile;Lithuania;Lebanon;Gabon;Vietnam;New Zealand;Bosnia and Herzegovina;Kazakhstan;Oman;Austria;Tunisia;Maldives;Singapore;Mongolia;Georgia;Belgium;Bhutan;Germany;Saudi Arabia;Senegal;Colombia;Central African Republic;Morocco;Brazil;Bulgaria;Luxembourg;Saint Vincent and the Grenadines;Guinea;Honduras;Ireland;Ecuador;San Marino;Niger;Ukraine;Estonia;Nigeria;Ethiopia;Venezuela;Cabo Verde;Bahamas, The;Eswatini;Kyrgyzstan;Israel;Albania;Iraq;Ghana;Romania;Madagascar;Belarus;Antigua and Barbuda;Nepal;Bangladesh;Togo;Haiti;Finland;Namibia;Suriname;Kosovo;Somalia;Congo (Brazzaville);Cyprus;Thailand;Uzbekistan;Portugal;Spain;Chad;India;Greece;Cote d'Ivoire;Seychelles;Guatemala;Mexico;Angola;Italy;Gambia, The;Sweden;Czechia;Taiwan*;Martinique;Djibouti;Costa Rica;Armenia;Korea, South;Tanzania;Cameroon;Russia;Azerbaijan;Slovenia;Paraguay;Slovakia;Cruise Ship;Poland;Uruguay;Turkey;Burkina Faso;Barbados;Saint Lucia;Egypt;Latvia;Iceland;Malta;Kenya;Guyana;Moldova;Monaco;Andorra;Switzerland;Holy See;Qatar;Congo (Kinshasa);Brunei;Peru;Cambodia;Montenegro;Dominican Republic;Bahrain;Norway;Jamaica;Hungary;Jordan;Bolivia;Rwanda;Zimbabwe;Zambia;El Salvador;Mauritania;Indonesia;Malaysia;Iran;Afghanistan;Benin;Philippines;United Arab Emirates;Sri Lanka;Sudan;Croatia;Papua New Guinea;Kuwait;Equatorial Guinea;Algeria;Cuba;South Africa;Trinidad and Tobago;Argentina
22/01/2020;1;548;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23/01/2020;1;643;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24/01/2020;2;920;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/01/2020;2;1406;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/01/2020;5;2075;1;3;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27/01/2020;5;2877;1;3;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
28/01/2020;5;5509;2;4;5;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
29/01/2020;5;6087;2;5;6;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
30/01/2020;5;8141;2;5;9;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0
31/01/2020;7;9802;4;5;9;2;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;13;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;19;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;10;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0
01/02/2020;8;11891;4;6;12;2;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;16;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;19;0;0;1;0;1;0;0;0;0;0;0;2;0;1;0;10;0;0;0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0
02/02/2020;8;16630;4;6;12;2;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;18;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;19;0;0;1;0;2;0;0;0;0;0;0;2;0;1;0;10;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0
03/02/2020;11;19716;4;6;12;2;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;18;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;19;0;0;1;0;3;0;0;0;0;0;0;2;0;1;0;10;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0
04/02/2020;11;23707;4;6;13;2;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;24;0;0;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;25;0;0;1;0;3;0;0;0;0;0;0;2;0;1;0;11;0;0;0;0;16;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0
